Location,id,OutputPower,FuelCost,cost_per_mwh
UK & Ireland,1990,368341811.96637523,7994583122.4400835,21.704250950391383
UK & Ireland,1991,378948771.4124133,8708134512.328024,22.979714328855508
UK & Ireland,1992,373752484.6905705,8322545483.595827,22.267532189079784
UK & Ireland,1993,375288113.6241913,8472368544.021535,22.57563785381611
UK & Ireland,1994,370621688.59866655,8111443422.1214285,21.886046261326683
UK & Ireland,1995,369144474.7474033,8165647591.571027,22.12046542795631
UK & Ireland,1996,383878141.79971147,8807017531.627583,22.942221951836597
UK & Ireland,1997,370222944.87939155,8399712852.433374,22.68825573512136
UK & Ireland,1998,370788172.309931,8166604961.859163,22.02498777397068
UK & Ireland,1999,367279492.9771897,8042274387.33231,21.89687837494315
UK & Ireland,2000,369191284.33792347,8171711237.702255,22.134084915782108
UK & Ireland,2001,373467699.7864124,8530916479.42513,22.842447912641422
UK & Ireland,2002,364233838.2661236,8053317428.328752,22.110294492860053
UK & Ireland,2003,374230765.62266123,8515187482.075455,22.753841384225908
UK & Ireland,2004,369517043.27468884,8256959850.002624,22.345274731657305
UK & Ireland,2005,371258964.2078725,8313871604.808949,22.39372622974272
UK & Ireland,2006,369477897.4733919,8269646528.69037,22.381978963399053
UK & Ireland,2007,366668786.9345601,8154484769.208236,22.23937531574941
UK & Ireland,2008,370812223.87358534,8182620533.0221405,22.06674970836911
UK & Ireland,2009,371134424.6157407,8299282642.748535,22.36193166759272
UK & Ireland,2010,382567799.6980488,9033022189.126286,23.611559039354134
UK & Ireland,2011,367599282.6130829,8140658799.808022,22.145469767895285
UK & Ireland,2012,376102536.4567853,8575740451.569285,22.80160227676276
UK & Ireland,2013,379243601.5971953,8620185581.052666,22.729943352369048
UK & Ireland,2014,363017894.8186331,8028433833.277018,22.11580736891247
UK & Ireland,2015,371191200.03742975,8162219230.863438,21.98925844696853
CEE,1990,366272683.71719486,6948689177.445549,18.971355185227917
CEE,1991,370578206.05934507,7110195055.388589,19.186759877211855
CEE,1992,366743714.99802953,6948603369.776603,18.94675514702123
CEE,1993,367101177.9994041,6909505677.319818,18.82180197561511
CEE,1994,367098961.46043336,6880511843.760657,18.74293464734373
CEE,1995,370371578.9054443,6901591115.6895275,18.634235208019295
CEE,1996,375997857.61899304,7142810822.049774,18.99694553389648
CEE,1997,372335800.61361957,6948526282.608887,18.66198810632103
CEE,1998,370268541.3180055,6788368216.898784,18.333634806605367
CEE,1999,367014684.51597524,6697915841.818185,18.249721671631484
CEE,2000,364075766.4894858,6754832685.118318,18.55337077293056
CEE,2001,365868900.90048987,6880746987.154366,18.806591569327757
CEE,2002,367830993.12063426,6822932407.3541975,18.54909601137537
CEE,2003,372638407.2896023,7104805115.132205,19.066218017646754
CEE,2004,370129708.5390028,6838010385.196627,18.47463261511218
CEE,2005,371257033.42756706,6893942693.729767,18.5691908112356
CEE,2006,371161245.27863735,6965402653.043018,18.766513857916298
CEE,2007,367155428.03511196,6856395746.25575,18.674368462830014
CEE,2008,367024802.5976805,6779136000.472664,18.470511944948065
CEE,2009,368087239.28932714,6903891039.884405,18.75612708882241
CEE,2010,376201130.9394451,6957052755.410508,18.492907605135148
CEE,2011,367277467.97883433,6911475355.349926,18.818130590434762
CEE,2012,368525340.8074712,6932375966.614166,18.811124226694222
CEE,2013,370543394.05860215,6926380718.4887705,18.692495479742245
CEE,2014,362593096.2880215,6918147734.474128,19.07964549048882
CEE,2015,366883966.3899368,6756161734.703861,18.41498226587308
CWE,1990,1389599525.5824177,15442865360.0596,11.113176908711948
CWE,1991,1412588913.8696988,16934006074.280706,11.987922252547671
CWE,1992,1405194447.7134838,15750836809.52056,11.209008714167735
CWE,1993,1404932270.6468794,15914481150.504866,11.327578903983241
CWE,1994,1408078517.713937,15221410190.611856,10.810057819307072
CWE,1995,1406856708.4901023,15698841121.368944,11.158806029519239
CWE,1996,1420073084.1497328,17127784703.47429,12.061199451385654
CWE,1997,1398454663.2553322,15972748869.770796,11.421713759807789
CWE,1998,1396941115.5501256,15203901838.194414,10.883709892243386
CWE,1999,1401913809.0318265,15098101629.439877,10.769636144654822
CWE,2000,1392841426.7830822,14790419037.843624,10.618882202551726
CWE,2001,1401455150.6448455,15685657739.643375,11.192407928591937
CWE,2002,1394650062.8232825,15331783407.428635,10.993283416480468
CWE,2003,1397336792.9712768,16671574830.798388,11.930963898365684
CWE,2004,1400775414.5265636,15963733870.800144,11.39635497971357
CWE,2005,1392370636.4370868,16374918099.656988,11.760459227694204
CWE,2006,1400795253.4541736,16238330168.8351,11.592222438499524
CWE,2007,1380843429.3881054,14920447376.115227,10.805314388704403
CWE,2008,1399600192.1489525,15441051378.98127,11.032473034512098
CWE,2009,1399965544.6461537,16070429645.62482,11.479160831552235
CWE,2010,1419861481.5766323,17059569442.409431,12.014953334367707
CWE,2011,1386894567.279752,15808247337.992676,11.398305041311751
CWE,2012,1397335373.3459466,15700363705.167372,11.235930904384498
CWE,2013,1413709291.6247466,16214449555.22795,11.469436928290271
CWE,2014,1382963481.254017,15141873140.411034,10.948859710077793
CWE,2015,1386670639.6186488,15239699319.08376,10.990136290240386
Iberia,1990,304146568.7472432,4605393819.706652,15.142021291497455
Iberia,1991,312439628.70445514,4489955016.413093,14.37063228832684
Iberia,1992,305969149.41509485,4699124627.634003,15.358164823535551
Iberia,1993,308368836.2030531,4566587669.892093,14.808849448344091
Iberia,1994,304542582.7512051,4225061684.999352,13.873467699756786
Iberia,1995,302769264.37735695,4171487139.0319457,13.777776114793495
Iberia,1996,311041631.64399505,3487081202.617081,11.210979006849621
Iberia,1997,304608211.0248455,3824685907.3841877,12.556082761249748
Iberia,1998,304886951.4202903,4224233406.1587095,13.855080994711228
Iberia,1999,305508423.21982104,4227985830.6131983,13.839179247673494
Iberia,2000,304701809.52159816,3975178016.101418,13.046125398279415
Iberia,2001,309940271.51088816,3832996809.245885,12.366888596183063
Iberia,2002,302442034.9139809,4027128749.114397,13.315373804635898
Iberia,2003,311090537.22768265,3934809074.242566,12.648437041216514
Iberia,2004,307466568.5166121,4621638649.378747,15.031353397789147
Iberia,2005,311504266.67300284,5242640350.901147,16.83007557775937
Iberia,2006,306389988.09250194,4453813238.422845,14.536418980760553
Iberia,2007,301428678.44628763,4534629234.389501,15.043788327518206
Iberia,2008,303124501.6201953,4549632821.283618,15.00912264421354
Iberia,2009,309653980.9935924,4523366697.769359,14.607810573773827
Iberia,2010,316808227.3650534,3741425860.225053,11.809749675199765
Iberia,2011,303500129.6766739,4582664408.9798565,15.099382045938105
Iberia,2012,308507892.9619622,5190201254.327901,16.823560669703294
Iberia,2013,315279037.79147893,3697568599.7329307,11.727924018146902
Iberia,2014,303744667.9162758,3536268898.2139792,11.642241895053502
Iberia,2015,305030609.2646501,4652218082.053556,15.251643411357472
Italy,1990,254715044.78628275,5848984713.895181,22.96285529110673
Italy,1991,261812918.6625344,5960090172.227701,22.764690920045858
Italy,1992,254642579.64682466,5622820106.069564,22.081225040478728
Italy,1993,255871988.37550345,5730434425.97188,22.395708347575017
Italy,1994,250754591.89946687,5480717205.195037,21.85689667207522
Italy,1995,251949038.32304463,5592239404.362143,22.195914862718674
Italy,1996,255913233.33284888,5805462365.911183,22.685276139512546
Italy,1997,253544775.20014244,5636824028.66726,22.232065418100927
Italy,1998,258369811.10312784,5753493930.408393,22.26844500850719
Italy,1999,252404339.11743906,5523503735.12444,21.883553010372204
Italy,2000,249864995.62192094,5382434170.982004,21.54136940064364
Italy,2001,254473787.1331259,5393084915.4632435,21.193086235801154
Italy,2002,248019270.4962578,5375858830.214287,21.675165883109873
Italy,2003,262603167.6321213,6073849853.926249,23.12938533336756
Italy,2004,256263098.76202175,5746932354.186547,22.425906741740548
Italy,2005,262817561.56070465,6172650403.64489,23.486445757237394
Italy,2006,258483292.15729284,5931757495.058145,22.94832074271376
Italy,2007,254999294.03714418,5778946580.978352,22.662598352670607
Italy,2008,254295910.02401236,5667712490.719468,22.28786334072099
Italy,2009,257498284.25612515,5800613615.892392,22.526804916970672
Italy,2010,261347892.92970526,5892921935.9937935,22.548189962177396
Italy,2011,254022775.77915165,5741160791.146796,22.600968647544356
Italy,2012,260118853.95782226,6053678710.506207,23.272740973585094
Italy,2013,257396324.44257718,5765990503.614553,22.401215386822255
Italy,2014,248377439.4996679,5269561443.603549,21.215942374712316
Italy,2015,254888978.8223424,5873450686.427953,23.04317241790885
Northern,1990,427865594.5266673,1694854051.732208,3.961183309462322
Northern,1991,426117976.6984203,2117184814.8207731,4.96854141480913
Northern,1992,437598512.2611939,1226120437.223994,2.801930086298253
Northern,1993,442429747.69238424,1399055136.0521119,3.1622085615835602
Northern,1994,434399800.60414153,1764288204.67586,4.061438799516427
Northern,1995,437186040.05340356,1519474818.7826424,3.475579454909022
Northern,1996,425018894.5616601,2507287153.2279844,5.899236917017196
Northern,1997,436839597.38319814,1685396056.6058097,3.858157700679709
Northern,1998,444392166.55654335,1394966566.4664097,3.139044005378339
Northern,1999,439245665.8091977,1296148633.3342924,2.9508512757808782
Northern,2000,436245813.1991899,982043116.3337791,2.251123303928141
Northern,2001,442116255.7237207,1390492070.3247497,3.1450824354978497
Northern,2002,437165284.1217653,1577685038.0622182,3.6088982711234214
Northern,2003,434500551.024799,1730468317.114411,3.9826608114373716
Northern,2004,436062070.55494064,1480076177.403867,3.394186922793571
Northern,2005,438594830.89398205,1210086707.9754179,2.7590081385795497
Northern,2006,423524283.3965218,1827431822.2086968,4.314821826869785
Northern,2007,438491351.37732035,1107921785.8922644,2.5266673616531636
Northern,2008,429795359.24397594,1305544731.158713,3.0375961561223206
Northern,2009,430713150.4854665,1780427039.09001,4.13367234569748
Northern,2010,427564985.0592711,2448556638.6632104,5.726747334849648
Northern,2011,431433109.7471495,1327991891.1501367,3.0780945206742114
Northern,2012,440384778.0350989,1350685286.0548806,3.0670571586995914
Northern,2013,427815223.5513528,1833089195.3359106,4.284768503839546
Northern,2014,428064435.276606,1630740324.4996617,3.8095674158165287
Northern,2015,433951164.3088819,995839102.0232084,2.2948183665072057
SEE,1990,195182300.92265555,4187808964.00458,21.45588480209624
SEE,1991,197413826.03260696,4190436266.467669,21.22666051655132
SEE,1992,195758755.2369118,4188193158.1787777,21.394665863655135
SEE,1993,195362483.77415302,4175418029.8219543,21.37267068455634
SEE,1994,193972522.773019,4044275529.778035,20.849734137399086
SEE,1995,195082803.05911696,4013370911.6462154,20.57265350257461
SEE,1996,197569674.1450332,4048730847.8739057,20.492673611952142
SEE,1997,194162193.17925802,4011974430.3736186,20.663005318803798
SEE,1998,194035979.83773592,3992154218.412372,20.574298755059974
SEE,1999,191672474.91367275,3871177405.9475417,20.196835292553505
SEE,2000,193711560.9372023,4010820778.850462,20.705118266796145
SEE,2001,193830951.59082934,4024925201.6886454,20.76513151617358
SEE,2002,193267497.86626467,3966896597.485228,20.525420162629736
SEE,2003,198514408.17522556,4115959787.2187724,20.733808820494676
SEE,2004,194364334.22177306,3878022909.6065702,19.95233809296349
SEE,2005,194733303.1664437,3890317247.4613338,19.977667837001547
SEE,2006,195705139.9541615,3913783618.8134646,19.998369075692953
SEE,2007,195019762.73219475,4030612103.106638,20.667711039324562
SEE,2008,193201139.21581748,3917557026.5897875,20.27709071742914
SEE,2009,194242619.77539527,3854341270.670081,19.84292260435375
SEE,2010,194661468.0912795,3691985747.416438,18.966186701546984
SEE,2011,194269870.11561555,4071609728.1898956,20.95852396342657
SEE,2012,196085484.06274235,4018401059.159306,20.493108290838705
SEE,2013,194100148.31652746,3798766977.4395847,19.57116988517068
SEE,2014,192721608.14393225,3733437914.2662725,19.372181200760792
SEE,2015,193278026.7639196,3877007355.261379,20.059224631866552
Europe,1990,3306123530.2488365,46723179209.28385,14.132315015394243
Europe,1991,3359900241.439474,49510001911.92655,14.735557116039582
Europe,1992,3339659643.962109,46758243991.99933,14.000900982989462
Europe,1993,3349354618.3155684,47167850633.58426,14.082668456678842
Europe,1994,3329468665.8008695,45727708081.14223,13.734235901013623
Europe,1995,3333359907.955872,46062652102.452446,13.818685462830686
Europe,1996,3369492517.2519746,48926174626.7818,14.520339302217552
Europe,1997,3330168185.5357876,46479868427.84393,13.957213521444363
Europe,1998,3339682738.0957594,45523723138.39825,13.631152031032517
Europe,1999,3325038889.585122,44757107463.60984,13.460626762532199
Europe,2000,3310632656.890403,44067439042.93186,13.310881517227388
Europe,2001,3341153017.290312,45738820202.9454,13.689531717418845
Europe,2002,3307608981.608309,45155602457.98772,13.65203768313358
Europe,2003,3350914629.943369,48146654460.50805,14.368212794881538
Europe,2004,3334578238.3956027,46785374196.57513,14.030372314516578
Europe,2005,3342536596.3666596,48098427108.17849,14.389798203095674
Europe,2006,3325537099.8066807,47600165525.07164,14.31352713756786
Europe,2007,3304606730.9507246,45383437595.94597,13.733385328695164
Europe,2008,3317854128.7242193,45843254982.22766,13.817139995800629
Europe,2009,3331295244.061801,47232351951.6796,14.178374623466237
Europe,2010,3379012985.6594353,48824534569.24472,14.449348012705643
Europe,2011,3304997203.19026,46583808312.61731,14.094961492751255
Europe,2012,3347060259.6278286,47821446433.39912,14.287596494816784
Europe,2013,3358087021.3824806,46856431130.892365,13.953310570135905
Europe,2014,3281482623.1971536,44258463288.74564,13.48733739312767
Europe,2015,3311894585.205809,45556595510.41715,13.755448532063154
