zone,w,Export,Import,net,r,n
British Isles,1,19320.570117978892,44675.49879778839,-25.354928679809493,-1,22
British Isles,2,36955.161220793016,27610.850396106838,9.344310824686177,-1,17
British Isles,3,34003.19296764666,28374.997958926848,5.628195008719813,-1,16
British Isles,4,37127.85486066262,26980.42736487016,10.14742749579246,-1,20
British Isles,5,42246.1936667365,21759.44178851672,20.48675187821978,-1,19
British Isles,6,39346.27295785421,24343.616147401623,15.00265681045259,-1,19
British Isles,7,41659.29833215849,22053.608624175038,19.60568970798345,-1,20
British Isles,8,41086.49224207194,22747.294666900583,18.339197575171355,-1,21
British Isles,9,38765.32758961756,26493.932835891825,12.271394753725737,-1,16
British Isles,10,43620.53239727055,20956.440364610236,22.664092032660314,-1,19
British Isles,11,36411.24785402944,26048.827776548587,10.362420077480852,-1,15
British Isles,12,38135.63634708102,26341.68658059858,11.793949766482438,-1,18
British Isles,13,39486.751992603,23310.652151492373,16.176099841110627,-1,20
British Isles,14,23382.902378151735,37278.956785862414,-13.896054407710679,-1,19
British Isles,15,36458.515106272025,21082.83524277594,15.375679863496087,-1,22
British Isles,16,28978.843396874192,29257.407427624712,-0.27856403075052005,-1,14
British Isles,17,21812.49559059824,35972.38631241378,-14.15989072181554,-1,21
British Isles,18,19143.064363852358,42255.05992711546,-23.1119955632631,-1,24
British Isles,19,20138.108863930658,38411.05972062969,-18.27295085669903,-1,23
British Isles,20,13176.242154435102,49961.79841780997,-36.78555626337487,-1,24
British Isles,21,11519.546190787101,50867.794456685246,-39.34824826589815,-1,26
British Isles,22,17392.875559402266,41543.482775470235,-24.150607216067968,-1,25
British Isles,23,11732.26324481402,48658.48531751571,-36.92622207270169,-1,25
British Isles,24,14616.930075779408,45902.34796392364,-31.28541788814423,-1,25
British Isles,25,15488.89112282862,43913.20348055325,-28.424312357724634,-1,23
British Isles,26,14675.216460399906,46169.473983201744,-31.49425752280184,-1,26
British Isles,27,14561.714809122757,48232.69268235565,-33.67097787323289,-1,26
British Isles,28,12080.307192045615,51166.27041921386,-39.08596322716825,-1,25
British Isles,29,16087.002667788489,43925.67806168745,-27.838675393898964,-1,25
British Isles,30,14970.176588629949,45515.234436838095,-30.54505784820815,-1,25
British Isles,31,12433.857525952099,46525.208181288865,-34.09135065533676,-1,25
British Isles,32,10125.882974720713,54597.01828942126,-44.47113531470055,-1,26
British Isles,33,12908.549506299856,49876.09914275035,-36.96754963645049,-1,26
British Isles,34,15602.81520008267,43354.285672979015,-27.751470472896344,-1,25
British Isles,35,30938.523174987444,26143.41173797774,4.795111437009702,-1,16
British Isles,36,25614.738620453827,31061.817542974615,-5.447078922520788,-1,16
British Isles,37,31983.881290770973,25568.484039127074,6.415397251643899,-1,20
British Isles,38,30040.262591575378,27442.805041899675,2.5974575496757026,-1,18
British Isles,39,37324.74006908625,21678.67255946067,15.64606750962558,-1,21
British Isles,40,30779.719107498735,28434.131035070885,2.3455880724278506,-1,17
British Isles,41,31162.892652917264,28716.274218263123,2.4466184346541415,-1,15
British Isles,42,38464.7863465847,22269.524666368663,16.195261680216035,-1,23
British Isles,43,41061.02853104022,22640.627309423802,18.420401221616416,-1,21
British Isles,44,40389.789628002945,23827.383534726298,16.562406093276646,-1,24
British Isles,45,44120.65109789989,20794.61844442264,23.326032653477252,-1,23
British Isles,46,44301.21766511962,20332.925930624824,23.968291734494798,-1,26
British Isles,47,43780.49405714819,20907.22250790713,22.873271549241064,-1,25
British Isles,48,48853.095715023424,17655.245317195273,31.19785039782815,-1,26
British Isles,49,44485.410982277215,21184.10987391481,23.301301108362406,-1,22
British Isles,50,45868.642220340786,20014.214734568028,25.854427485772757,-1,23
British Isles,51,46311.55208326344,19536.107371755308,26.775444711508136,-1,25
British Isles,52,34241.9989903032,31728.843631856667,2.513155358446529,-1,13
CEE,1,110959.18647652525,87563.59001072333,23.395596465801923,-6,18
CEE,2,124321.32058656885,88891.31624525311,35.43000434131574,-6,24
CEE,3,126753.00834305484,86597.14939008457,40.15585895297027,-6,26
CEE,4,136095.33773089905,96629.86765728287,39.465470073616174,-6,24
CEE,5,143448.65616526103,93722.51366581631,49.72614249944471,-6,24
CEE,6,146568.4899330913,99315.09821640381,47.25339171668749,-6,23
CEE,7,150039.75654592266,86356.05344517644,63.68370310074622,-6,26
CEE,8,153750.6466440493,84415.0483133743,69.335598330675,-6,26
CEE,9,153658.6421367002,85448.48912841894,68.21015300828125,-6,25
CEE,10,148464.94445657398,92924.24750507071,55.54069695150327,-6,26
CEE,11,147740.16633214513,88949.51712113261,58.79064921101253,-6,26
CEE,12,153161.81809106952,83773.89704329082,69.3879210477787,-6,26
CEE,13,157439.56136060588,91142.33634427283,66.29722501633304,-6,26
CEE,14,149242.49242580356,91017.08041645221,58.225412009351345,-6,26
CEE,15,158761.16433269673,108856.40500395733,49.904759328739395,-6,26
CEE,16,158052.76618766875,108028.84848562164,50.02391770204711,-6,26
CEE,17,150072.37164027285,105935.65472155214,44.1367169187207,-6,26
CEE,18,148222.3018693396,103573.62196215859,44.64867990718101,-6,26
CEE,19,134022.6563141094,116898.18460890316,17.124471705206233,-6,23
CEE,20,112745.12036266967,113787.81221488205,-1.0426918522123887,-6,14
CEE,21,116941.83616078738,114818.28151446949,2.1235546463178907,-6,17
CEE,22,130719.47597988961,114112.76918901947,16.606706790870142,-6,21
CEE,23,117732.36290653191,104921.51972570509,12.810843180826822,-6,22
CEE,24,118825.33131912125,110623.76642881236,8.201564890308887,-6,18
CEE,25,117492.91578521302,110328.11962601762,7.164796159195394,-6,18
CEE,26,123947.00784692586,107002.24166909941,16.944766177826445,-6,21
CEE,27,148528.0093288668,100911.20967354265,47.616799655324165,-6,26
CEE,28,148954.30378855317,98211.18652487086,50.7431172636823,-6,26
CEE,29,148156.50311407886,100421.7946935667,47.73470842051216,-6,26
CEE,30,150798.42480010615,96207.88141341222,54.59054338669393,-6,25
CEE,31,149019.30403253026,96080.3141154353,52.93898991709495,-6,26
CEE,32,144666.87057140385,92290.48581018715,52.3763847612167,-6,25
CEE,33,140976.9110367246,95190.47382678169,45.78643720994292,-6,26
CEE,34,147097.27953209716,102890.79908070451,44.20648045139265,-6,26
CEE,35,143309.05079952689,101455.93669876039,41.8531141007665,-6,26
CEE,36,137419.97215382606,96772.6412666298,40.64733088719627,-6,25
CEE,37,140322.24636926022,100057.59645745992,40.2646499118003,-6,25
CEE,38,142649.42435917072,102963.78046813452,39.68564389103621,-6,26
CEE,39,145743.21385816703,102662.8151848371,43.080398673329924,-6,25
CEE,40,129658.09040219798,106445.061632371,23.213028769826984,-6,21
CEE,41,129244.91809829064,105064.31014628158,24.18060795200906,-6,23
CEE,42,119872.78926557903,112802.71347084033,7.0700757947387025,-6,16
CEE,43,112470.47754894782,112381.2033612293,0.08927418771851808,-6,12
CEE,44,119023.63489822409,102230.6990005063,16.79293589771779,-6,21
CEE,45,120999.64170302788,96526.37099838634,24.473270704641546,-6,22
CEE,46,134164.45284942706,89026.5467991568,45.13790605027026,-6,26
CEE,47,126582.83727883757,93969.06046742041,32.61377681141716,-6,25
CEE,48,127047.20334816548,100064.29594854005,26.98290739962543,-6,23
CEE,49,119650.00411340324,93476.7159427299,26.17328817067333,-6,20
CEE,50,121581.4980667428,86212.6315871388,35.368866479603994,-6,23
CEE,51,128295.94424951296,78931.77190130137,49.36417234821159,-6,25
CEE,52,146842.9039117861,63082.570285808964,83.76033362597713,-6,26
CWE,1,286271.26842539373,189389.35455053896,96.88191387485477,-7,21
CWE,2,259324.86818302542,218039.39919724045,41.28546898578497,-7,15
CWE,3,261750.7776442601,201110.81744231418,60.63996020194591,-7,20
CWE,4,243529.76614810078,216869.6876087369,26.660078539363894,-7,15
CWE,5,234490.53908534796,218887.28433709708,15.603254748250881,-7,11
CWE,6,251831.84825654703,213635.62101774337,38.196227238803665,-7,15
CWE,7,250498.36807004292,214424.65155460307,36.073716515439855,-7,16
CWE,8,273510.35989599535,203147.77354442712,70.36258635156823,-7,22
CWE,9,290185.5767315507,192309.70512088767,97.87587161066301,-7,18
CWE,10,273815.3404147458,206373.53430060667,67.44180611413913,-7,19
CWE,11,315513.10453391913,177866.76981548633,137.6463347184328,-7,26
CWE,12,314342.05822012975,183821.56550715282,130.52049271297693,-7,25
CWE,13,306509.0680221582,196499.61239106487,110.0094556310933,-7,23
CWE,14,322687.8491542373,181808.14394438209,140.87970520985522,-7,25
CWE,15,292604.3272434972,220305.49881708427,72.29882842641292,-7,24
CWE,16,309547.8841351225,212912.50264532692,96.6353814897956,-7,25
CWE,17,326540.77396554383,201815.47410542995,124.72529986011388,-7,26
CWE,18,314975.05957919086,211371.61213909762,103.60344744009323,-7,25
CWE,19,332192.19514027005,201027.2093009144,131.16498583935564,-7,26
CWE,20,356808.6871170813,171914.70137885053,184.89398573823078,-7,26
CWE,21,358816.82435140363,176882.50714361496,181.93431720778867,-7,26
CWE,22,313866.8776846441,199994.41779880732,113.87245988583675,-7,26
CWE,23,335576.5231701482,177954.40176421838,157.62212140592982,-7,26
CWE,24,339217.3343970967,183624.24989935788,155.59308449773883,-7,26
CWE,25,346072.4204302631,180501.07737040325,165.57134305985986,-7,26
CWE,26,343830.78957120486,184560.39215628168,159.27039741492317,-7,26
CWE,27,340737.0982755124,201560.86241540173,139.17623586011067,-7,26
CWE,28,345776.2026603507,200213.81204105576,145.56239061929494,-7,26
CWE,29,336323.77381667483,205657.96843331688,130.66580538335793,-7,26
CWE,30,334135.5849577429,207605.59104149285,126.52999391625004,-7,26
CWE,31,341798.6770324417,201661.94165452992,140.1367353779118,-7,26
CWE,32,331488.5367758307,194881.16766979158,136.60736910603913,-7,25
CWE,33,305588.54536095913,195978.01279500066,109.61053256595848,-7,26
CWE,34,324336.7152587116,205412.80736069364,118.92390789801796,-7,26
CWE,35,296344.89269668923,216134.7186767838,80.21017401990542,-7,26
CWE,36,296330.4611365093,208193.3186122746,88.13714252423472,-7,25
CWE,37,277307.138756585,221756.8316598608,55.550307096724225,-7,24
CWE,38,270296.2077036147,227741.88846015785,42.554319243456874,-7,22
CWE,39,264689.8069964425,235769.20538891744,28.92060160752505,-7,19
CWE,40,285605.66906953993,200663.80760008996,84.94186146944998,-7,24
CWE,41,274518.2800380766,208590.59792947778,65.92768210859884,-7,22
CWE,42,244611.39884125866,220264.67307718092,24.34672576407774,-7,18
CWE,43,239339.80577086838,216784.7994218206,22.55500634904779,-7,14
CWE,44,243812.76103138586,206215.43523919032,37.59732579219554,-7,16
CWE,45,235301.1738512794,214521.11730103436,20.780056550245032,-7,13
CWE,46,218182.47961937514,231146.0827602614,-12.963603140886262,-7,15
CWE,47,207098.17318977666,235791.72655642522,-28.69355336664856,-7,15
CWE,48,157449.95153071074,263150.0760861892,-105.70012455547845,-7,21
CWE,49,177958.88720459086,237332.79706609825,-59.373909861507386,-7,16
CWE,50,192221.40641696178,233740.4235352295,-41.51901711826771,-7,17
CWE,51,183675.1174330097,237703.4578197053,-54.028340386695604,-7,18
CWE,52,239336.0933653862,201737.8431607547,37.598250204631476,-7,17
Iberia,1,33491.89084900434,31134.65807337727,2.3572327756270677,-2,13
Iberia,2,26333.389267092087,39967.71040257476,-13.634321135482674,-2,15
Iberia,3,25081.740307908443,39632.6367259081,-14.550896417999658,-2,16
Iberia,4,33469.5425817633,31999.116288706784,1.4704262930565164,-2,15
Iberia,5,32359.713815263112,31189.444092270824,1.1702697229922887,-2,15
Iberia,6,34379.87882682227,28146.602440140465,6.233276386681806,-2,15
Iberia,7,35442.407860868756,27639.76489518597,7.802642965682786,-2,14
Iberia,8,29855.72563448364,35477.88027680284,-5.6221546423192015,-2,12
Iberia,9,27475.99557369726,39377.195964964034,-11.901200391266775,-2,15
Iberia,10,30813.60351042642,34581.15073970423,-3.7675472292778105,-2,13
Iberia,11,16751.116675100016,48768.28634463746,-32.017169669537445,-2,22
Iberia,12,18047.045021282578,45860.96949384909,-27.81392447256651,-2,20
Iberia,13,21513.62453690259,43657.2709740304,-22.14364643712781,-2,18
Iberia,14,24136.254298180815,42862.38266728753,-18.726128369106714,-2,20
Iberia,15,27095.96365767451,37406.52225203254,-10.31055859435803,-2,14
Iberia,16,20075.333325837364,44370.79372358305,-24.295460397745682,-2,20
Iberia,17,8451.637941626455,60207.17265383874,-51.75553471221228,-2,26
Iberia,18,11456.891883122518,60564.6743419226,-49.10778245880008,-2,24
Iberia,19,6315.517005569107,70454.3548520782,-64.1388378465091,-2,26
Iberia,20,3815.6959902434724,73317.07591729955,-69.50137992705606,-2,26
Iberia,21,2934.640816657634,73468.33410375105,-70.53369328709343,-2,26
Iberia,22,2377.502217554835,76031.39085118308,-73.65388863362824,-2,26
Iberia,23,2978.214030354005,73754.89164784338,-70.77667761748937,-2,26
Iberia,24,3813.1104408265974,73004.06661939355,-69.19095617856695,-2,26
Iberia,25,1197.106732924101,79215.32841751956,-78.01822168459546,-2,26
Iberia,26,1302.4843972935032,76970.8314365389,-75.66834703924539,-2,26
Iberia,27,1783.8027075653335,76644.76125517733,-74.860958547612,-2,26
Iberia,28,1151.6873618510267,77237.04597664558,-76.08535861479454,-2,26
Iberia,29,1606.6938065745867,76952.71141899218,-75.3460176124176,-2,26
Iberia,30,1830.283419623504,75842.06869538313,-74.01178527575962,-2,26
Iberia,31,805.7935444083479,77462.20992481304,-76.65641638040469,-2,26
Iberia,32,2071.560128604743,73740.66027870002,-71.66910015009528,-2,26
Iberia,33,3471.0442086267917,67145.3862787881,-63.6743420701613,-2,26
Iberia,34,7163.040331379873,59717.220723096325,-52.55418039171645,-2,26
Iberia,35,6434.135327947764,62788.42462989547,-56.3542893019477,-2,26
Iberia,36,8647.059281942813,57704.562137579414,-49.0575028556366,-2,26
Iberia,37,13523.16676793188,52496.07551593565,-38.97290874800377,-2,24
Iberia,38,18137.189238877127,44645.265593809556,-26.50807635493243,-2,22
Iberia,39,15312.425528600474,47409.66925304732,-32.09724372444685,-2,26
Iberia,40,15985.768330552328,47306.84401419186,-31.321075683639535,-2,24
Iberia,41,21053.192764124295,41243.90821838669,-20.1907154542624,-2,20
Iberia,42,28516.614824141663,31544.558703323193,-3.02794387918153,-2,13
Iberia,43,34217.28630938338,28351.944723470573,5.865341585912807,-2,15
Iberia,44,26515.82136088518,35447.28523231856,-8.931463871433378,-2,17
Iberia,45,28601.165353111188,31979.211880301078,-3.3780465271898903,-2,15
Iberia,46,32143.741081238928,30056.3971736758,2.0873439075631284,-2,17
Iberia,47,40686.57430337975,22317.00682363391,18.36956747974584,-2,19
Iberia,48,44823.28060659735,18859.25009034369,25.96403051625366,-2,20
Iberia,49,39764.06840117743,20351.886477546108,19.41218192363132,-2,16
Iberia,50,44029.16088646753,18568.66980356554,25.46049108290199,-2,19
Iberia,51,43440.91340900162,16462.590334595836,26.978323074405786,-2,20
Iberia,52,30666.7408612398,27596.671536703565,3.0700693245362345,-2,12
Italy,1,4439.436998950583,189920.38715491246,-185.4809501559619,-5,26
Italy,2,5855.277551291724,179065.81932839024,-173.2105417770985,-5,26
Italy,3,5433.8359105010195,173010.3652960815,-167.57652938558047,-5,26
Italy,4,12120.999139111225,152924.40589538237,-140.80340675627113,-5,26
Italy,5,13496.678840335238,142181.29001846878,-128.68461117813354,-5,26
Italy,6,12688.743765089874,150835.88139169943,-138.14713762660955,-5,25
Italy,7,10851.210911883147,150626.8439379426,-139.77563302605947,-5,26
Italy,8,7666.836458543733,162187.95461414073,-154.521118155597,-5,26
Italy,9,8098.947189978653,164974.17545245448,-156.87522826247584,-5,26
Italy,10,4710.834477486797,169139.42008051334,-164.42858560302656,-5,26
Italy,11,2268.0591055950636,192510.6321987579,-190.24257309316286,-5,26
Italy,12,1376.3809599190424,198067.26799355427,-196.69088703363522,-5,26
Italy,13,1483.9691527913953,194500.72363245612,-193.01675447966474,-5,26
Italy,14,3776.258303267183,194200.76594452214,-190.42450764125496,-5,26
Italy,15,435.4734287841446,200518.14559077853,-200.0826721619944,-5,26
Italy,16,680.6170350070597,210331.21408609458,-209.65059705108754,-5,26
Italy,17,587.7795954842667,214944.14413556055,-214.3563645400763,-5,26
Italy,18,929.9024587463692,210653.11354953586,-209.7232110907895,-5,26
Italy,19,611.8918814998315,216011.97733191386,-215.40008545041405,-5,26
Italy,20,938.2879845845981,219986.5678197164,-219.0482798351318,-5,26
Italy,21,360.49422941812514,223450.67053947435,-223.09017631005622,-5,26
Italy,22,3399.9524547543906,192634.33369003094,-189.23438123527654,-5,26
Italy,23,557.5451308991369,216259.403647509,-215.70185851660986,-5,26
Italy,24,496.46267978601117,218681.2061359426,-218.18474345615658,-5,26
Italy,25,424.29177139130104,219696.30833507568,-219.2720165636844,-5,26
Italy,26,607.093430437138,218256.77574064827,-217.64968231021112,-5,26
Italy,27,632.0015396569319,215783.3021410397,-215.15130060138276,-5,26
Italy,28,770.1509893008428,217470.90387197322,-216.7007528826724,-5,26
Italy,29,787.1876229100106,215645.60585740232,-214.8584182344923,-5,26
Italy,30,540.5633740832367,215936.23940940344,-215.3956760353202,-5,26
Italy,31,814.5817305259288,217571.90823819628,-216.75732650767034,-5,26
Italy,32,1105.3483486402672,208111.95965919038,-207.00661131055014,-5,26
Italy,33,2404.502109750772,191965.66978147998,-189.5611676717292,-5,26
Italy,34,260.54938041187125,221521.13670543503,-221.26058732502318,-5,26
Italy,35,249.9214623227707,210337.17970281397,-210.08725824049122,-5,26
Italy,36,188.2367426228814,212587.8233906923,-212.3995866480694,-5,26
Italy,37,193.4154743014017,204863.29124201566,-204.66987576771425,-5,26
Italy,38,323.5806710028478,203513.7528775741,-203.19017220657125,-5,26
Italy,39,221.66547914741147,201684.0043625271,-201.46233888337972,-5,26
Italy,40,510.8934854976441,202701.6819372899,-202.19078845179223,-5,26
Italy,41,384.19211098903037,204654.39207496349,-204.27019996397445,-5,26
Italy,42,1573.3152718022602,186255.0600594548,-184.68174478765255,-5,26
Italy,43,4776.075532899856,171849.85574504617,-167.07378021214632,-5,26
Italy,44,3337.9233208430805,166916.2234799015,-163.57830015905841,-5,26
Italy,45,4013.417015292819,165097.14209860162,-161.0837250833088,-5,26
Italy,46,5853.750869275787,155770.58788287026,-149.91683701359446,-5,26
Italy,47,13115.451626209655,143680.95997328,-130.56550834707033,-5,26
Italy,48,27948.03733053162,104732.41343892165,-76.78437610839003,-5,21
Italy,49,27326.672308691188,104398.03878388087,-77.07136647518969,-5,21
Italy,50,22358.406757077093,120214.55213231863,-97.85614537524152,-5,25
Italy,51,21332.95505481488,116644.16275800926,-95.31120770319438,-5,23
Italy,52,9857.657312817766,144584.56862835735,-134.72691131553958,-5,26
Northern,1,97932.1417645558,1743.2435886677508,96.18889817588804,-4,26
Northern,2,99465.8004228076,1632.3915052488746,97.83340891755873,-4,26
Northern,3,77840.16356196694,16624.135005695236,61.2160285562717,-4,23
Northern,4,52172.529877826564,43181.10928863435,8.991420589192218,-4,15
Northern,5,38835.53013662843,57415.80563452171,-18.58027549789328,-4,18
Northern,6,31441.483864057456,65112.21939907259,-33.67073553501513,-4,20
Northern,7,27838.075182395743,69136.51810980699,-41.29844292741125,-4,22
Northern,8,27425.815656410512,68322.55769738683,-40.896742040976314,-4,20
Northern,9,22597.110193662233,74410.28141136898,-51.81317121770675,-4,25
Northern,10,32992.30703351338,60354.58975144931,-27.36228271793593,-4,16
Northern,11,30884.582363365735,62100.5153731773,-31.215933009811568,-4,20
Northern,12,30764.44047472831,61212.41073623433,-30.447970261506015,-4,19
Northern,13,32240.026702412677,61770.24537318755,-29.53021867077487,-4,20
Northern,14,38721.804871888904,57575.17341945975,-18.85336854757085,-4,17
Northern,15,54872.983895739664,41399.89239372822,13.47309150201144,-4,21
Northern,16,63523.04692812902,31381.712612324216,32.141334315804805,-4,21
Northern,17,78859.45886605195,18976.449014416954,59.883009851634995,-4,22
Northern,18,88197.13686256346,10095.421562177555,78.10171530038592,-4,23
Northern,19,94623.39484669318,5937.663536679302,88.68573131001386,-4,25
Northern,20,98225.57506359575,3496.9033478689103,94.72867171572685,-4,26
Northern,21,102100.85157153197,1094.8444448449545,101.00600712668701,-4,26
Northern,22,102757.50929058173,172.42902849678183,102.58508026208494,-4,26
Northern,23,101248.59624964409,282.21089252896735,100.96638535711513,-4,26
Northern,24,100903.49002184905,107.91473206579248,100.79557528978326,-4,26
Northern,25,101394.17346233349,185.3581466222728,101.20881531571122,-4,26
Northern,26,100935.03146087345,420.8980140178685,100.51413344685557,-4,26
Northern,27,101990.50908668134,738.9385249712553,101.2515705617101,-4,26
Northern,28,104318.41340762618,246.57777823855025,104.07183562938762,-4,26
Northern,29,104825.21193333787,152.91787653277188,104.6722940568051,-4,26
Northern,30,103779.99346834567,602.7763881880961,103.17721708015758,-4,26
Northern,31,101464.23427804974,1330.34603323909,100.13388824481065,-4,26
Northern,32,99751.60811270696,1860.4069178208083,97.89120119488615,-4,26
Northern,33,98204.76415124533,2789.763783745479,95.41500036749984,-4,26
Northern,34,97893.44441420997,3439.6783734084847,94.45376604080148,-4,26
Northern,35,97605.94264800403,4343.115274301841,93.26282737370218,-4,26
Northern,36,97155.38640013871,4513.48160618215,92.64190479395657,-4,26
Northern,37,95895.46518821373,4979.074423045105,90.91639076516861,-4,26
Northern,38,97127.77118853109,4776.952774021353,92.35081841450973,-4,26
Northern,39,96021.91981706631,5236.713318212295,90.78520649885402,-4,26
Northern,40,89129.78435859327,10211.98456486655,78.91779979372672,-4,26
Northern,41,89401.19905646957,10089.59405889753,79.31160499757203,-4,26
Northern,42,86251.44384400819,12112.415925189678,74.13902791881851,-4,26
Northern,43,81156.23646073109,17490.27401174321,63.66596244898788,-4,24
Northern,44,76854.90279680018,20327.38352936786,56.52751926743232,-4,23
Northern,45,75795.62576607653,20709.32247251112,55.08630329356541,-4,23
Northern,46,75411.49306417686,21326.854964428403,54.08463809974845,-4,22
Northern,47,72241.2110607433,24001.56842310502,48.239642637638276,-4,22
Northern,48,74391.40586932449,23010.647258167704,51.38075861115678,-4,24
Northern,49,67905.26725296177,27924.699589450647,39.980567663511124,-4,22
Northern,50,65550.2888339712,30723.210891099607,34.82707794287159,-4,20
Northern,51,66913.53066515134,29360.497062030765,37.553033603120575,-4,22
Northern,52,57586.29307631768,35042.62266726149,22.54367040905619,-4,15
SEE,1,26756.62145195865,34744.38390835908,-7.9877624564004295,-3,19
SEE,2,35242.369776060295,32290.699932824722,2.9516698432355732,-3,15
SEE,3,41599.85324579285,27112.470162120397,14.487383083672455,-3,22
SEE,4,66843.69132527515,12775.10756002529,54.06858376524987,-3,26
SEE,5,70683.98266082877,10405.514833709618,60.27846782711915,-3,26
SEE,6,74553.92371800481,9421.602709005674,65.13232100899913,-3,26
SEE,7,64574.67919042932,10666.355526810907,53.90832366361842,-3,26
SEE,8,59414.298262760465,16411.665681282542,43.002632581477926,-3,26
SEE,9,59703.96535558787,17471.784856808525,42.23218049877934,-3,26
SEE,10,63721.15163970515,13809.331187767595,49.91182045193756,-3,26
SEE,11,62334.86604716138,15658.5942815757,46.676271765585675,-3,26
SEE,12,60706.45274990123,17456.034509431563,43.25041824046967,-3,26
SEE,13,67584.013598153,15376.17449912255,52.20783909903045,-3,26
SEE,14,59587.22214355879,16792.2803971222,42.7949417464366,-3,26
SEE,15,75098.24618266628,15757.374546973733,59.340871635692544,-3,26
SEE,16,72020.57943600223,16596.591464066005,55.42398797193622,-3,26
SEE,17,66566.11367360855,15039.350329974033,51.526763343634514,-3,26
SEE,18,68481.10367523498,12891.957210042463,55.58914646519251,-3,26
SEE,19,71037.29535105379,10200.610052007369,60.83668529904642,-3,26
SEE,20,59124.04098983948,12368.790566021948,46.75525042381753,-3,26
SEE,21,60071.25322354983,12163.014341295599,47.908238882254224,-3,26
SEE,22,66187.5046397379,12212.87449355701,53.97463014618089,-3,26
SEE,23,63502.445336831675,11497.0370739025,52.00540826292917,-3,26
SEE,24,64217.5927077289,10146.69986269216,54.07089284503674,-3,26
SEE,25,62196.63807546228,10427.042004224277,51.769596071238006,-3,26
SEE,26,60272.53644946704,12189.546616813854,48.08298983265319,-3,26
SEE,27,56568.714039173625,20930.083094090853,35.63863094508277,-3,26
SEE,28,53609.32778867153,22114.59657640126,31.494731212270267,-3,26
SEE,29,55898.23193431885,20927.92855418519,34.97030338013366,-3,26
SEE,30,55102.369469747275,19447.604693560865,35.654764776186404,-3,26
SEE,31,52417.59072169399,18122.11071809959,34.2954800035944,-3,26
SEE,32,54538.81323825757,18266.92152505365,36.27189171320392,-3,26
SEE,33,57024.54422409244,17633.454989152644,39.39108923493979,-3,26
SEE,34,62019.03738663751,18036.953587213644,43.98208379942387,-3,26
SEE,35,64195.67245969955,17875.351848644455,46.320320611055095,-3,26
SEE,36,62071.53794304579,16593.747722206528,45.47779022083926,-3,26
SEE,37,66717.95137879958,16221.91188841854,50.496039490381044,-3,26
SEE,38,68799.9996659833,16289.990203158135,52.51000946282516,-3,26
SEE,39,69958.78543116953,14831.47711267759,55.127308318491934,-3,26
SEE,40,66266.42450582402,22172.838475823748,44.09358603000027,-3,26
SEE,41,71927.9390570927,19333.537131689962,52.59440192540274,-3,26
SEE,42,77444.74315194994,11486.145642966874,65.95859750898306,-3,26
SEE,43,71016.15000096074,14538.355582097854,56.47779441886289,-3,26
SEE,44,62502.126995355975,17472.550015486453,45.029576979869525,-3,26
SEE,45,57793.452495340476,16997.344086771045,40.79610840856943,-3,26
SEE,46,56544.10673030333,18941.846367899245,37.60226036240408,-3,26
SEE,47,56064.171970135336,18901.368734458774,37.16280323567656,-3,26
SEE,48,64938.48820092221,17979.534461917767,46.95895373900444,-3,26
SEE,49,49240.48970393582,21662.552233416925,27.577937470518894,-3,26
SEE,50,42903.60224159636,25039.302739237435,17.864299502358925,-3,25
SEE,51,37026.65550461587,28358.08115197197,8.6685743526439,-3,21
SEE,52,22938.369030620735,37696.93663772872,-14.758567607107986,-3,23
