region,id,demand,shed,total_annual_load,ratio
UK & Ireland,1990,366670.109,185.6552580733241,3095208.956,5.9981494210087215e-5
UK & Ireland,1991,375898.055,176.46754748314535,3147157.142,5.607204836648267e-5
UK & Ireland,1992,373292.262,209.77527211990684,3125715.106,6.711272940941753e-5
UK & Ireland,1993,376831.762,180.53001601760087,3138441.369,5.752218849801966e-5
UK & Ireland,1994,371904.445,191.81894128986403,3294655.100270984,5.8221250920646285e-5
UK & Ireland,1995,369865.52,163.65264271228995,3300138.399270984,4.958963016473539e-5
UK & Ireland,1996,380876.402,208.92083234867349,3157147.407,6.617392393065208e-5
UK & Ireland,1997,369194.821,163.93717784554966,3116839.154,5.259725309699111e-5
UK & Ireland,1998,369746.075,193.99486777198283,3125013.9159999997,6.207808124588935e-5
UK & Ireland,1999,368253.41,161.7799354410647,3112038.975,5.1985189369636574e-5
UK & Ireland,2000,370048.354,202.00011842450112,3274326.110270984,6.169211972835031e-5
UK & Ireland,2001,373953.612,195.66501516787446,3304044.406270984,5.921985031330321e-5
UK & Ireland,2002,366745.754,207.79661385190334,3097712.768,6.708065899410831e-5
UK & Ireland,2003,369009.504,163.80434298036567,3133530.198,5.22746974274941e-5
UK & Ireland,2004,368456.226,198.5325271293296,3300029.281270984,6.01608380434934e-5
UK & Ireland,2005,368923.426,187.72928994637684,3125170.219,6.0070100759646604e-5
UK & Ireland,2006,367289.464,123.61253965380855,3290521.256270984,3.756624863560179e-5
UK & Ireland,2007,365332.543,196.3866817112538,3089045.501,6.357519876210259e-5
UK & Ireland,2008,370516.276,171.9559836270794,3284224.341270984,5.235817220711938e-5
UK & Ireland,2009,369989.383,155.11844286410562,3118746.438,4.97374332757813e-5
UK & Ireland,2010,380412.976,179.6596634200042,3345379.5942709837,5.37038199574345e-5
UK & Ireland,2011,366257.306,152.55974507828975,3269367.607270984,4.66633806302482e-5
UK & Ireland,2012,373380.361,180.9751460097686,3128811.167,5.784150476019079e-5
UK & Ireland,2013,377057.723,179.73301562140483,3319411.1482709837,5.4146054102103094e-5
UK & Ireland,2014,363389.783,164.30063549688035,3245673.183270984,5.0621435437100434e-5
UK & Ireland,2015,368955.271,152.920244425184,3096894.409,4.9378578740294404e-5
CEE,1990,351680.899,39.72967931575722,3095208.956,1.2835863387750296e-5
CEE,1991,353871.981,30.387417159984036,3147157.142,9.6555131469136e-6
CEE,1992,354217.536,55.15802034751104,3125715.106,1.7646528386938356e-5
CEE,1993,353783.593,50.06142343718946,3138441.369,1.5951046252344203e-5
CEE,1994,353344.904,75.02707692493412,3294655.100270984,2.2772361488995667e-5
CEE,1995,354036.974,45.22344224247418,3300138.399270984,1.3703498693407601e-5
CEE,1996,354535.861,47.28929033173015,3157147.407,1.4978486663904493e-5
CEE,1997,354328.923,57.0518960549048,3116839.154,1.830440816353554e-5
CEE,1998,353345.74,44.39218644977921,3125013.9159999997,1.4205436405416382e-5
CEE,1999,352635.61,27.71249889382474,3112038.975,8.904933105416759e-6
CEE,2000,351254.842,44.11278831424687,3274326.110270984,1.3472325855348625e-5
CEE,2001,353091.665,44.35124153515901,3304044.406270984,1.3423318842501509e-5
CEE,2002,352377.889,46.648950470799576,3097712.768,1.5059159439407255e-5
CEE,2003,354460.679,62.66101730696433,3133530.198,1.9996940622100344e-5
CEE,2004,352740.201,39.51251261199079,3300029.281270984,1.1973382429131906e-5
CEE,2005,353357.193,45.48908294549219,3125170.219,1.4555713691668259e-5
CEE,2006,352440.296,46.75143836026135,3290521.256270984,1.420791258259273e-5
CEE,2007,352194.061,50.92054224280687,3089045.501,1.648423185295349e-5
CEE,2008,351782.418,37.989698895456534,3284224.341270984,1.1567327608550225e-5
CEE,2009,352396.581,33.31719174116647,3118746.438,1.0682879292531465e-5
CEE,2010,353586.45,32.017966251949545,3345379.5942709837,9.570802161518778e-6
CEE,2011,352783.385,48.59613831141866,3269367.607270984,1.4864078974582786e-5
CEE,2012,353081.196,59.11321357276372,3128811.167,1.889318671457034e-5
CEE,2013,353260.941,42.39443787922777,3319411.1482709837,1.2771674247497243e-5
CEE,2014,350086.776,39.37639435815286,3245673.183270984,1.2131965276451338e-5
CEE,2015,352355.682,51.951786962889756,3096894.409,1.677544665775841e-5
CWE,1990,1339359.285,143.31674221150678,3095208.956,4.630276800333308e-5
CWE,1991,1366680.877,240.84847422569072,3147157.142,7.652890000676385e-5
CWE,1992,1352906.713,8.171097621801996,3125715.106,2.6141530320908254e-6
CWE,1993,1355685.203,427.9985897652427,3138441.369,1.363729760870491e-4
CWE,1994,1338731.641,13.298683616746853,3294655.100270984,4.036441816217134e-6
CWE,1995,1351104.209,24.942634519737425,3300138.399270984,7.558057118224911e-6
CWE,1996,1368824.974,29.80917515871142,3157147.407,9.44180657913494e-6
CWE,1997,1346876.307,136.69931269302174,3116839.154,4.3858314766608495e-5
CWE,1998,1351791.626,568.5383679708899,3125013.9159999997,1.8193146758802784e-4
CWE,1999,1344949.969,15.142490715607087,3112038.975,4.865777979405636e-6
CWE,2000,1337672.209,20.337333971827736,3274326.110270984,6.211151023727632e-6
CWE,2001,1349894.082,30.196647078972674,3304044.406270984,9.139298195163564e-6
CWE,2002,1335363.989,9.310145004271696,3097712.768,3.005490083021053e-6
CWE,2003,1357645.653,33.871923575489326,3133530.198,1.0809509222891277e-5
CWE,2004,1355190.8,50.80873203963,3300029.281270984,1.5396448852133023e-5
CWE,2005,1356515.519,239.18267464290605,3125170.219,7.65342870569912e-5
CWE,2006,1349633.147,8.565170223325925,3290521.256270984,2.6029827970272678e-6
CWE,2007,1332638.404,36.55483132200339,3089045.501,1.1833697920658562e-5
CWE,2008,1346255.537,105.8808957104788,3284224.341270984,3.2239239682847985e-5
CWE,2009,1348196.064,191.19625463810416,3118746.438,6.130548232728889e-5
CWE,2010,1374829.606,537.3719101604261,3345379.5942709837,1.6063107190606533e-4
CWE,2011,1332523.277,4.272542946912559,3269367.607270984,1.3068407900691682e-6
CWE,2012,1351330.534,439.06168589779463,3128811.167,1.4032859845574522e-4
CWE,2013,1366280.88,46.30214332818887,3319411.1482709837,1.3948902760149718e-5
CWE,2014,1324785.977,9.455384801668453,3245673.183270984,2.9132276319143546e-6
CWE,2015,1339202.793,3.9339288509073027,3096894.409,1.270281879638765e-6
Iberia,1990,314439.975,8.51141706414134,3095208.956,2.7498683239598833e-6
Iberia,1991,317411.237,4.894888388149713,3147157.142,1.5553365044362038e-6
Iberia,1992,315038.653,15.819189539666269,3125715.106,5.060982528222221e-6
Iberia,1993,314956.181,2.190004443479063,3138441.369,6.978000179040665e-7
Iberia,1994,314005.984,13.073404248701445,3294655.100270984,3.968064592747861e-6
Iberia,1995,311723.302,5.5354969442177575,3300138.399270984,1.6773529696332054e-6
Iberia,1996,313410.238,9.762056246159458,3157147.407,3.092049558571485e-6
Iberia,1997,310677.307,10.444296826423493,3116839.154,3.3509258291432167e-6
Iberia,1998,313391.067,10.650217520730223,3125013.9159999997,3.4080544301583275e-6
Iberia,1999,315634.05,18.338982796666485,3112038.975,5.892915527083489e-6
Iberia,2000,313977.244,1.4515621460705634,3274326.110270984,4.433163030149223e-7
Iberia,2001,314596.23,5.307390145855405,3304044.406270984,1.606331360372193e-6
Iberia,2002,311756.695,12.686114547376356,3097712.768,4.095316608572133e-6
Iberia,2003,315805.17,6.424067738591504,3133530.198,2.0501055782681513e-6
Iberia,2004,315429.125,7.011463608493641,3300029.281270984,2.1246670895578306e-6
Iberia,2005,318138.02,9.592530864099304,3125170.219,3.0694426837232396e-6
Iberia,2006,314786.581,4.111256675364395,3290521.256270984,1.2494241353187663e-6
Iberia,2007,312913.604,2.366071920633809,3089045.501,7.659556713774055e-7
Iberia,2008,313192.425,14.126581490198438,3284224.341270984,4.301344860239206e-6
Iberia,2009,315089.219,6.778812946899243,3118746.438,2.1735697600496122e-6
Iberia,2010,316840.083,10.152909126993473,3345379.5942709837,3.034904960973784e-6
Iberia,2011,312807.259,6.136120459514039,3269367.607270984,1.876852405911001e-6
Iberia,2012,316144.164,6.749076182642755,3128811.167,2.1570736686912223e-6
Iberia,2013,315604.536,4.513577685028792,3319411.1482709837,1.3597525233895252e-6
Iberia,2014,312174.408,37.57375821849274,3245673.183270984,1.157656858742197e-5
Iberia,2015,313327.415,7.898610482948491,3096894.409,2.5504939593658875e-6
Italy,1990,313552.531,124.34261507162029,3095208.956,4.017260767825857e-5
Italy,1991,315029.081,116.50676207418879,3147157.142,3.701968373913144e-5
Italy,1992,314291.744,127.82032861393297,3125715.106,4.089314741723393e-5
Italy,1993,314752.994,127.56746191278846,3138441.369,4.064675643548352e-5
Italy,1994,315775.651,162.4667000951275,3294655.100270984,4.9312202689065894e-5
Italy,1995,313709.833,144.91132069128193,3300138.399270984,4.3910679844000944e-5
Italy,1996,312849.205,118.50001834800821,3157147.407,3.753388837191161e-5
Italy,1997,313590.32,164.67559413203173,3116839.154,5.2834164997155874e-5
Italy,1998,315493.58,146.39620245904732,3125013.9159999997,4.6846576173469855e-5
Italy,1999,314662.108,155.98882985817167,3112038.975,5.012431756519748e-5
Italy,2000,314053.616,148.71585180832105,3274326.110270984,4.54187661216229e-5
Italy,2001,314119.659,135.0440350594913,3304044.406270984,4.087234263655219e-5
Italy,2002,312319.346,133.16526361053695,3097712.768,4.298825410353119e-5
Italy,2003,318294.16,144.32826285669134,3133530.198,4.6059317682277315e-5
Italy,2004,313653.47,160.7133680609759,3300029.281270984,4.870058849874151e-5
Italy,2005,314477.305,115.6208090838308,3125170.219,3.699664369668397e-5
Italy,2006,315030.712,115.79139604874246,3290521.256270984,3.518937792244023e-5
Italy,2007,313916.025,117.4081428639511,3089045.501,3.8007903355888795e-5
Italy,2008,314009.736,120.32788468657225,3284224.341270984,3.663814410437192e-5
Italy,2009,315117.237,146.58895619117544,3118746.438,4.700252460574528e-5
Italy,2010,313995.337,113.16979779893597,3345379.5942709837,3.382868658395031e-5
Italy,2011,314621.93,118.39336862636654,3269367.607270984,3.621292642744209e-5
Italy,2012,316506.967,117.731050325123,3128811.167,3.762804593861353e-5
Italy,2013,314139.516,116.42078620501343,3319411.1482709837,3.507272254166367e-5
Italy,2014,311377.542,112.68445822942024,3245673.183270984,3.471836252960535e-5
Italy,2015,315508.557,127.73973485492853,3096894.409,4.124768816259906e-5
Northern,1990,409506.157,4.193285208645042,3095208.956,1.3547664368560462e-6
Northern,1991,418265.911,3.0071199633594166,3147157.142,9.555035950471825e-7
Northern,1992,415968.198,3.1124732737885434,3125715.106,9.957635831282135e-7
Northern,1993,422431.636,4.558955185227571,3138441.369,1.4526176051140279e-6
Northern,1994,422729.964,2.975508285430367,3294655.100270984,9.031319500440676e-7
Northern,1995,420819.095,4.854501216160722,3300138.399270984,1.470999282100746e-6
Northern,1996,426650.727,0.6756255033098105,3157147.407,2.1399871979744102e-7
Northern,1997,422171.476,1.0373847328760453,3116839.154,3.3283229631683623e-7
Northern,1998,421245.828,7.283494115483381,3125013.9159999997,2.33070773803344e-6
Northern,1999,415903.828,2.115580205083779,3112038.975,6.798051766314331e-7
Northern,2000,408737.231,13.819776373128345,3274326.110270984,4.220647518821703e-6
Northern,2001,419525.652,1.9974668764431944,3304044.406270984,6.045520673548025e-7
Northern,2002,419149.095,2.3564465673116204,3097712.768,7.607053151131992e-7
Northern,2003,418315.032,2.6831630180332486,3133530.198,8.562748237581365e-7
Northern,2004,416378.877,4.001350380330849,3300029.281270984,1.2125196594588264e-6
Northern,2005,413758.756,8.586143348400137,3125170.219,2.747416219506774e-6
Northern,2006,412208.18,1.8535723575747924,3290521.256270984,5.633066050074303e-7
Northern,2007,412050.864,7.169896227973735,3089045.501,2.321071743893919e-6
Northern,2008,410861.212,1.7973300222053572,3284224.341270984,5.472616470255489e-7
Northern,2009,417957.954,2.2640805144897658,3118746.438,7.259585091315352e-7
Northern,2010,428123.316,0.9495963552480011,3345379.5942709837,2.838530960355591e-7
Northern,2011,410887.337,1.5778432784497394,3269367.607270984,4.826142141191646e-7
Northern,2012,418367.945,2.6157782656296584,3128811.167,8.360294456944638e-7
Northern,2013,416059.878,0.9225888148875165,3319411.1482709837,2.7793749363289177e-7
Northern,2014,408693.355,2.5506313743802105,3245673.183270984,7.858558857764258e-7
Northern,2015,407544.691,4.044720645345517,3096894.409,1.306057007817575e-6
SEE,1994,178162.511270984,0.5098449165361209,3294655.100270984,1.5474910150509723e-7
SEE,1995,178879.466270984,0.15397278152408456,3300138.399270984,4.665646191023318e-8
SEE,2000,178582.614270984,0.26896775404945755,3274326.110270984,8.214446117805832e-8
SEE,2001,178863.50627098398,0.11718364811176427,3304044.406270984,3.546672916663982e-8
SEE,2004,178180.58227098398,0.15257646851257844,3300029.281270984,4.623488324134343e-8
SEE,2006,179132.876270984,0.09019925835807203,3290521.256270984,2.7411844912465704e-8
SEE,2008,177606.73727098398,0.12704886073294222,3284224.341270984,3.8684586535819515e-8
SEE,2010,177591.826270984,0.4845509036770908,3345379.5942709837,1.4484183035817282e-7
SEE,2011,179487.113270984,0.18295539048933132,3269367.607270984,5.5960483025048496e-8
SEE,2013,177007.674270984,0.16297017890881996,3319411.1482709837,4.909611121650535e-8
SEE,2014,175165.342270984,0.24107292740539538,3245673.183270984,7.427516998567382e-8
