id,step,flow,n
1998,"[1,4.4e+02]",-1,336
1998,"[1,4.4e+02]",0,101
1998,"[1,4.4e+02]",1,3
1998,"(4.4e+02,8.8e+02]",-1,311
1998,"(4.4e+02,8.8e+02]",0,124
1998,"(4.4e+02,8.8e+02]",1,4
1998,"(8.8e+02,1.3e+03]",-1,279
1998,"(8.8e+02,1.3e+03]",0,147
1998,"(8.8e+02,1.3e+03]",1,13
1998,"(1.3e+03,1.8e+03]",-1,255
1998,"(1.3e+03,1.8e+03]",0,167
1998,"(1.3e+03,1.8e+03]",1,17
1998,"(1.8e+03,2.2e+03]",-1,214
1998,"(1.8e+03,2.2e+03]",0,186
1998,"(1.8e+03,2.2e+03]",1,39
1998,"(2.2e+03,2.6e+03]",-1,198
1998,"(2.2e+03,2.6e+03]",0,196
1998,"(2.2e+03,2.6e+03]",1,46
1998,"(2.6e+03,3.1e+03]",-1,157
1998,"(2.6e+03,3.1e+03]",0,200
1998,"(2.6e+03,3.1e+03]",1,82
1998,"(3.1e+03,3.5e+03]",-1,125
1998,"(3.1e+03,3.5e+03]",0,213
1998,"(3.1e+03,3.5e+03]",1,101
1998,"(3.5e+03,4e+03]",-1,83
1998,"(3.5e+03,4e+03]",0,218
1998,"(3.5e+03,4e+03]",1,138
1998,"(4e+03,4.4e+03]",-1,48
1998,"(4e+03,4.4e+03]",0,229
1998,"(4e+03,4.4e+03]",1,162
1998,"(4.4e+03,4.8e+03]",-1,41
1998,"(4.4e+03,4.8e+03]",0,202
1998,"(4.4e+03,4.8e+03]",1,196
1998,"(4.8e+03,5.3e+03]",-1,26
1998,"(4.8e+03,5.3e+03]",0,211
1998,"(4.8e+03,5.3e+03]",1,203
1998,"(5.3e+03,5.7e+03]",-1,45
1998,"(5.3e+03,5.7e+03]",0,140
1998,"(5.3e+03,5.7e+03]",1,254
1998,"(5.7e+03,6.1e+03]",-1,23
1998,"(5.7e+03,6.1e+03]",0,139
1998,"(5.7e+03,6.1e+03]",1,277
1998,"(6.1e+03,6.6e+03]",-1,27
1998,"(6.1e+03,6.6e+03]",0,141
1998,"(6.1e+03,6.6e+03]",1,271
1998,"(6.6e+03,7e+03]",-1,14
1998,"(6.6e+03,7e+03]",0,135
1998,"(6.6e+03,7e+03]",1,290
1998,"(7e+03,7.5e+03]",-1,12
1998,"(7e+03,7.5e+03]",0,102
1998,"(7e+03,7.5e+03]",1,325
1998,"(7.5e+03,7.9e+03]",-1,10
1998,"(7.5e+03,7.9e+03]",0,118
1998,"(7.5e+03,7.9e+03]",1,312
1998,"(7.9e+03,8.3e+03]",-1,13
1998,"(7.9e+03,8.3e+03]",0,128
1998,"(7.9e+03,8.3e+03]",1,298
1998,"(8.3e+03,8.8e+03]",-1,3
1998,"(8.3e+03,8.8e+03]",0,94
1998,"(8.3e+03,8.8e+03]",1,342
2008,"[1,4.4e+02]",-1,230
2008,"[1,4.4e+02]",0,202
2008,"[1,4.4e+02]",1,8
2008,"(4.4e+02,8.8e+02]",-1,235
2008,"(4.4e+02,8.8e+02]",0,195
2008,"(4.4e+02,8.8e+02]",1,9
2008,"(8.8e+02,1.3e+03]",-1,253
2008,"(8.8e+02,1.3e+03]",0,180
2008,"(8.8e+02,1.3e+03]",1,6
2008,"(1.3e+03,1.8e+03]",-1,211
2008,"(1.3e+03,1.8e+03]",0,212
2008,"(1.3e+03,1.8e+03]",1,16
2008,"(1.8e+03,2.2e+03]",-1,153
2008,"(1.8e+03,2.2e+03]",0,259
2008,"(1.8e+03,2.2e+03]",1,27
2008,"(2.2e+03,2.6e+03]",-1,135
2008,"(2.2e+03,2.6e+03]",0,260
2008,"(2.2e+03,2.6e+03]",1,45
2008,"(2.6e+03,3.1e+03]",-1,90
2008,"(2.6e+03,3.1e+03]",0,277
2008,"(2.6e+03,3.1e+03]",1,72
2008,"(3.1e+03,3.5e+03]",-1,52
2008,"(3.1e+03,3.5e+03]",0,285
2008,"(3.1e+03,3.5e+03]",1,102
2008,"(3.5e+03,4e+03]",-1,36
2008,"(3.5e+03,4e+03]",0,259
2008,"(3.5e+03,4e+03]",1,144
2008,"(4e+03,4.4e+03]",-1,26
2008,"(4e+03,4.4e+03]",0,278
2008,"(4e+03,4.4e+03]",1,135
2008,"(4.4e+03,4.8e+03]",-1,25
2008,"(4.4e+03,4.8e+03]",0,255
2008,"(4.4e+03,4.8e+03]",1,159
2008,"(4.8e+03,5.3e+03]",-1,9
2008,"(4.8e+03,5.3e+03]",0,256
2008,"(4.8e+03,5.3e+03]",1,175
2008,"(5.3e+03,5.7e+03]",-1,9
2008,"(5.3e+03,5.7e+03]",0,215
2008,"(5.3e+03,5.7e+03]",1,215
2008,"(5.7e+03,6.1e+03]",-1,5
2008,"(5.7e+03,6.1e+03]",0,155
2008,"(5.7e+03,6.1e+03]",1,279
2008,"(6.1e+03,6.6e+03]",-1,9
2008,"(6.1e+03,6.6e+03]",0,187
2008,"(6.1e+03,6.6e+03]",1,243
2008,"(6.6e+03,7e+03]",-1,4
2008,"(6.6e+03,7e+03]",0,169
2008,"(6.6e+03,7e+03]",1,266
2008,"(7e+03,7.5e+03]",-1,4
2008,"(7e+03,7.5e+03]",0,125
2008,"(7e+03,7.5e+03]",1,310
2008,"(7.5e+03,7.9e+03]",-1,2
2008,"(7.5e+03,7.9e+03]",0,108
2008,"(7.5e+03,7.9e+03]",1,330
2008,"(7.9e+03,8.3e+03]",-1,1
2008,"(7.9e+03,8.3e+03]",0,161
2008,"(7.9e+03,8.3e+03]",1,277
2008,"(8.3e+03,8.8e+03]",0,161
2008,"(8.3e+03,8.8e+03]",1,278
